Molecule,Variability_CV,VirtualProfileId,ParameterSetId,PopulationIndividualId,Dose_mg_kg,AUC0_28d_ug_h_mL,Cmax_ug_mL,Lambda_z_1_h,AUCinf_ug_h_mL,Terminal_CL_L_day,Profile_type
Golimumab,0.3,1050,21,49,0.1,192.72223845562576,1.662916224449873,0.004568708149500302,201.29175517574978,0.04257833848642149,Sparse reduced-study candidate
Golimumab,0.3,1050,21,49,1,1936.4132449499448,16.62916950881481,0.00447189459757934,2028.3784196833888,0.042253794475573044,Sparse reduced-study candidate
Golimumab,0.3,1050,21,49,3,5798.349696949325,49.88691508769989,0.00446253055386784,6075.415232820005,0.04232139610852938,Sparse reduced-study candidate
Golimumab,0.3,1050,21,49,10,19172.617529904837,166.2820279598236,0.004457342928553808,20091.81045603885,0.042657522104101536,Sparse reduced-study candidate
Golimumab,0.3,1050,21,49,30,56179.28233797284,498.76699447631836,0.004450719098777412,58884.554162186985,0.043665110188960146,Sparse reduced-study candidate
Golimumab,0.3,1051,22,0,0.1,251.07612133542474,2.7013633400201797,0.005651302197396317,256.17511400225743,0.054359522561607046,Sparse reduced-study candidate
Golimumab,0.3,1051,22,0,1,2507.936859414741,27.013421058654785,0.005625882645582997,2559.6520471903677,0.054404101153567024,Sparse reduced-study candidate
Golimumab,0.3,1051,22,0,3,7492.693313760705,81.03824257850647,0.005622793000022966,7647.510575874671,0.05462780371925901,Sparse reduced-study candidate
Golimumab,0.3,1051,22,0,10,24611.432237709767,270.10136246681213,0.005619640140780599,25121.559291163197,0.055432693201597744,Sparse reduced-study candidate
Golimumab,0.3,1051,22,0,30,70865.28160160185,810.0155353546143,0.005611964969260815,72346.31787479582,0.057745400035816,Sparse reduced-study candidate
Golimumab,0.3,1052,22,1,0.1,244.29223261728288,2.6284195482730865,0.005651985197278289,249.25136645738925,0.054360911816659606,Sparse reduced-study candidate
Golimumab,0.3,1052,22,1,1,2440.348651212967,26.283998787403107,0.005625988969451268,2490.66699553245,0.05440121692894337,Sparse reduced-study candidate
Golimumab,0.3,1052,22,1,3,7291.607452103379,78.85008752346039,0.005622856494999289,7442.262429186854,0.05461859890495344,Sparse reduced-study candidate
Golimumab,0.3,1052,22,1,10,23960.42357376328,262.8089904785156,0.005619788250407463,24456.997860749838,0.055401450453234906,Sparse reduced-study candidate
Golimumab,0.3,1052,22,1,30,69062.94121705649,788.156247138977,0.005612248642377119,70505.8304832522,0.0576528130764614,Sparse reduced-study candidate
Golimumab,0.3,1053,22,2,0.1,272.6353436561182,2.933184150606394,0.005649341249263384,278.17886846105847,0.05435564881188593,Sparse reduced-study candidate
Golimumab,0.3,1053,22,2,1,2722.686088241875,29.331576079130173,0.0056255756476746065,2778.8397013425056,0.05441333256341517,Sparse reduced-study candidate
Golimumab,0.3,1053,22,2,3,8131.302877943355,87.99233436584473,0.005622602730715065,8299.340468306797,0.054657088495281204,Sparse reduced-study candidate
Golimumab,0.3,1053,22,2,10,26675.46883259252,293.2766318321228,0.005619173375318639,27228.586370100576,0.05553205251066897,Sparse reduced-study candidate
Golimumab,0.3,1053,22,2,30,76556.44085892108,879.480242729187,0.005611069299586845,78158.106421066,0.05803848214859633,Sparse reduced-study candidate
Golimumab,0.3,1054,22,3,0.1,213.89003427375582,2.301527839154005,0.005655532825244871,218.2225217342638,0.054368380115092735,Sparse reduced-study candidate
Golimumab,0.3,1054,22,3,1,2137.36342850655,23.01514595746994,0.0056265401363575366,2181.4203546647122,0.05438844001777051,Sparse reduced-study candidate
Golimumab,0.3,1054,22,3,3,6389.612733331273,69.04398947954178,0.005623165348234811,6521.600560587317,0.054577422679137816,Sparse reduced-study candidate
Golimumab,0.3,1054,22,3,10,21033.850848526967,230.1280438899994,0.005620459925338773,21469.538735029437,0.05526157388730816,Sparse reduced-study candidate
Golimumab,0.3,1054,22,3,30,60915.95229269977,690.185022354126,0.0056135312758911,62186.737096980454,0.05723602281698726,Sparse reduced-study candidate
Golimumab,0.3,1055,22,4,0.1,165.946352551688,1.7860522493720055,0.005663491875547747,169.29126659689987,0.05438632363371003,Sparse reduced-study candidate
Golimumab,0.3,1055,22,4,1,1659.2728999558913,17.860474437475204,0.005628631476255864,1693.4458458026552,0.05436920015080676,Sparse reduced-study candidate
Golimumab,0.3,1055,22,4,3,4964.449057107065,53.58056724071503,0.005623779229059545,5066.953306658949,0.054512815036600465,Sparse reduced-study candidate
Golimumab,0.3,1055,22,4,10,16388.423472898772,178.590989112854,0.005620790055777208,16727.641445093093,0.05504140941639152,Sparse reduced-study candidate
Golimumab,0.3,1055,22,4,30,47828.03221352309,535.6611371040344,0.0056144906048301215,48823.640453701104,0.05657380028163219,Sparse reduced-study candidate
Golimumab,0.3,1056,22,5,0.1,170.32549756576623,1.8331345170736313,0.005662597618734572,173.7605723216309,0.05438424807975098,Sparse reduced-study candidate
Golimumab,0.3,1056,22,5,1,1702.956325246699,18.331290408968925,0.005628511677335852,1738.0315736184082,0.05437092291681137,Sparse reduced-study candidate
Golimumab,0.3,1056,22,5,3,5094.762578660519,54.99296486377716,0.005623714104399035,5199.9621774593825,0.05451869311231869,Sparse reduced-study candidate
Golimumab,0.3,1056,22,5,10,16814.281176107146,183.29837322235107,0.005620710984637416,17162.340167140857,0.05506147751174291,Sparse reduced-study candidate
Golimumab,0.3,1056,22,5,30,49036.05339633685,549.7765302658081,0.005614225691362406,50057.04073228411,0.05663441905500684,Sparse reduced-study candidate
Golimumab,0.3,1057,22,6,0.1,192.6548882741175,2.0732105243951082,0.005658613141690886,196.54984453435944,0.05437516350472359,Sparse reduced-study candidate
Golimumab,0.3,1057,22,6,1,1925.6522505441903,20.732013881206512,0.005627018165102653,1965.3343806523335,0.054379702704007174,Sparse reduced-study candidate
Golimumab,0.3,1057,22,6,3,5758.795636711653,62.19487488269806,0.005623413010643377,5877.7315924202385,0.05454874775414726,Sparse reduced-study candidate
Golimumab,0.3,1057,22,6,10,18980.89534865582,207.30133652687073,0.005620318766307379,19373.953564586103,0.05516390806737292,Sparse reduced-study candidate
Golimumab,0.3,1057,22,6,30,55156.129716822856,621.7472791671753,0.005612884696734075,56305.878370710394,0.05694305946007546,Sparse reduced-study candidate
Golimumab,0.3,1058,22,7,0.1,214.80779273153814,2.311395574361086,0.005655412263105936,219.15919332964268,0.05436812092844474,Sparse reduced-study candidate
