Molecule,Variability_CV,Design,N_per_group,Total_animals,Dose_mg_kg,Endpoint,Fraction_within_2fold,Median_fold_error,Fold_error_5th_percentile,Fold_error_95th_percentile
Golimumab,0.5,5 dose groups,3,15,1,AUC0-28d,0.999,1.0440746841673412,0.7035190551658691,1.522857376681666
Golimumab,0.5,5 dose groups,3,15,1,Cmax,1,0.8903805725938252,0.6993368226132075,1.0917451407192036
Golimumab,0.5,5 dose groups,3,15,1,Terminal clearance,0.996,0.9039148469565622,0.6447544687816115,1.2757812631581715
Golimumab,0.5,5 dose groups,3,15,3,AUC0-28d,0.997,1.03746835397369,0.7049849590088233,1.5339904653988228
Golimumab,0.5,5 dose groups,3,15,3,Cmax,1,0.88693624958099615,0.6944142819101942,1.0883079021207003
Golimumab,0.5,5 dose groups,3,15,3,Terminal clearance,0.992,0.9079240800581752,0.6129073508416977,1.2700821485560378
Golimumab,0.5,5 dose groups,3,15,10,AUC0-28d,0.998,1.0530621062689205,0.7000808500138328,1.566335063644641
Golimumab,0.5,5 dose groups,3,15,10,Cmax,1,0.8879325282172021,0.6930684105182482,1.0772031231907633
Golimumab,0.5,5 dose groups,3,15,10,Terminal clearance,0.987,0.8910260086343496,0.589135759737423,1.2522250687419436
Golimumab,0.5,5 dose groups,3,15,30,AUC0-28d,0.996,1.058346309934668,0.707979361260812,1.5944011967769263
Golimumab,0.5,5 dose groups,3,15,30,Cmax,1,0.8909879586314503,0.7168361017850844,1.078004414961115
Golimumab,0.5,5 dose groups,3,15,30,Terminal clearance,0.989,0.89719174556525,0.6056448553394197,1.257913430892837
Golimumab,0.5,5 dose groups,6,30,0.1,AUC0-28d,1,1.077110979163196,0.8014190832416318,1.4054098084678281
Golimumab,0.5,5 dose groups,6,30,0.1,Cmax,1,0.8910272990045123,0.756691446900325,1.0263040995365031
Golimumab,0.5,5 dose groups,6,30,0.1,Terminal clearance,1,0.9031092509529486,0.6909571776538171,1.1538956965922742
Golimumab,0.5,5 dose groups,6,30,1,AUC0-28d,1,1.0762951369119178,0.8162348283745389,1.3997844594800313
Golimumab,0.5,5 dose groups,6,30,1,Cmax,1,0.9008668074886683,0.7669036921741651,1.0266761743484463
Golimumab,0.5,5 dose groups,6,30,1,Terminal clearance,1,0.9069642306181988,0.6911311788553202,1.1573148309739787
Golimumab,0.5,5 dose groups,6,30,3,AUC0-28d,1,1.0683026937887266,0.8057171616009894,1.4024438965476462
Golimumab,0.5,5 dose groups,6,30,3,Cmax,1,0.8953996392211725,0.7642679837601669,1.0336565903778148
Golimumab,0.5,5 dose groups,6,30,3,Terminal clearance,1,0.907102105351448,0.7028458151823257,1.1621487740951304
Golimumab,0.5,5 dose groups,6,30,10,AUC0-28d,1,1.0647878477671688,0.8061442916659626,1.4314218123735898
Golimumab,0.5,5 dose groups,6,30,10,Cmax,1,0.8934899983090816,0.7600843268053771,1.0303796726556427
Golimumab,0.5,5 dose groups,6,30,10,Terminal clearance,1,0.908326883111081,0.6878667570050174,1.1584795799050756
Golimumab,0.5,5 dose groups,6,30,30,AUC0-28d,1,1.063088486052426,0.8269363877571476,1.424082647989069
Golimumab,0.5,5 dose groups,6,30,30,Cmax,1,0.8937519173116848,0.7593069365843157,1.024929251562723
Golimumab,0.5,5 dose groups,6,30,30,Terminal clearance,1,0.899352951960509,0.68350236230502,1.1482679517904646
